id,ai_title,ai_turkish_title,ai_synopsis
278,Yakamoz S-245,Yakamoz S-245,"Set in the world of INTO THE NIGHT, this fast-paced story follows a free-spirited dive instructor and marine biologist Arman as he sets out to join in a research mission aboard a submarine. However, when the sun starts killing everyone up above, Arman and his science crew need to get on board a military sub to survive.

As they try to figure out what is happening up above as well as what the military sub’s true mission is, tensions arise between the crews, and especially between Arman and the boat’s second commander, Umut. Arman will not only fight to stay alive but also will get a second chance with the love of his life. At the end of it all, he will learn… that he is a hero, a leader, and a legend."
279,Untold Stores,Annenin Sırrıdır Çocuk,"When Defne got pregnant, the only one happier than her husband Cinar was their maid, Meryem. And when Meryem announced that she too was pregnant, Defne was thrilled!

Their relationship grew along with their pregnancies, and the two young women formed a special bond. So when Defne’s baby was abducted, she turned to her fellow mother for support.

The only problem: Meryem was never really pregnant, and she’s the one who stole Defne’s child. As Defne confronts every mother’s nightmare, her marriage will be tested along with her sanity. She will be aided by her mysterious ex-husband, who goes to extraordinary lengths to help find her baby. And all the while Meryem will remain by Defne’s side, posing as a friend while she watches the police search for her baby."
280,The Town Doctor,Kasaba Doktoru,"Based on the KDrama, Dr. Romantic.

The series follows an eccentric, triple board-certified virtuoso surgeon who leaves a top job in a top city hospital and ends up at a provincial hospital, where he mentors young doctors. The Turkish remake follows the talented and promising Ömer (Deniz Can Aktaş), who decided to become a doctor after losing his father, and the legendary surgeon Ali (Ozan Akbaba), who has dedicated his life to saving lives. In a town hospital in the city, Ömer will cross paths with Ali Hoca and the idealistic doctor Leyla (Hazal Subaşı), and we as the audience will follow the determined struggle of these three doctors who do their best to help people."
281,Your Honor,Hakim,"The Turkish remake of the award-winning series, 'Your Honor,' which follows an idealist and honest judge whose life spirals out of control after he unexpectedly enters into a war to protect his son who is involved in a crime. After his wife's sudden death, judge Ömer Arif Derman tries to build a brand new world for his son and himself.

This new world shatters after his son, Ozan, gets involved in an accident that kills someone. Ömer Arif is then forced to give up on every principle he believes in to protect his son, having learned that the deceased youngster is the son of a Mafia leader.

In time, Ömer Arif Derman will turn into a completely different man with his son's life in danger. In addition, the war he enters to protect his son will result in sacrificing himself blindly and sacrificing his loved ones."
282,The Life and Movies of Erşan Kuneri,Erşan Kuneri,"Ersan Kuneri was the centerpiece of the erotic film industry in the 70's.

With this confidence he decides to encounter other movie genres with his entourage Alev, Altin Oran, Miki Muammer, Seyyal, Kaya Akin (a.k.a Ibrahim Tumtum) Firdevs and Payro Kemal. Will Ersan be able to slay his fans with a splash of Iranian cinema, perhaps an Italian romantic comedy, who knows a teen horror drama, a hint of social media themed film, maybe a wink at Hong Kong or a horse chasing scene from a medieval revenge film."
283,Twisted Affairs,İyilik,"Neslihan seems to have it all: Wealthy and beautiful, married to a hard-working executive who has worked his way up to a position of trust in her family’s holding company, Neslihan is devoted to her husband Murat and their kids. But Neslihan’s perfect life is a castle built on sand.

Her father ran off when she was young, her sister committed suicide, and her workaholic mother is emotionally checked-out. A lesser person might have become bitter and inward, but Neslihan has always been warm and loving.

She’s the emotional rock for her family and friends, someone who just can’t help but help others in distress. That is, until she finds out Murat has been cheating on her for years with Damla, whom she met very recently and considered as a sister. Suddenly, her world turns upside down, and everything Neslihan ever believed comes into question. The experience turns her into a completely different person, as she fights to protect her children and herself."
284,Gülümse Kaderine,Gülümse Kaderine,"Eda and Yaren are two young girls who grew up in an orphanage in Bursa and try to console their loneliness by accepting each other as siblings. Yaren wants to become a doctor by taking the university exam and earning a scholarship to the medical school.

Eda, on the other hand, dropped out of high school and thinks that she will not get anywhere by studying. While both of them want to establish their own lives since they are eighteen years old, the fate of the two girls will change tragically after a house party...

As Yaren embarks on a journey towards the secrets of her past that are hidden from her, Eda begins to turn all the crises into opportunities on this journey. She thinks that life owes them. And if this debt is not repaid by good fortune, Eda is determined to collect it."
285,Aslında Özgürsün,Aslında Özgürsün,"This show is an adaptation of the best-selling novel of journalist-writer Duygu Asena, who devoted her life and work to the advocacy of freedom for women. The series came to life with the performances of two well-known actresses: Deniz Çakır and Bade İşçil.

At the center of the story of two childhood friends, Berna and Belgin, we can witness two young women who even though have very different lives are experiencing the same problems and struggling to earn their freedom. Can you ever be too old to finally get to know yourself or even start over?"
286,Love and Hate,Seversin,"Tolga (Burak Yörük) is a famous young actor who is having a mid-career crisis and decides to shoot a rom-com to re-boost his fame. For the lead actress, a search starts for an unknown name.

Asya (İlayda Allişan) is an ordinary girl who dreams of studying at university but she's currently working as a shop assistant in a shopping center. The paths of these two people (with totally different life perspectives) cross coincidentally when Asya's sister decides to attend the auditions of the rom-com.

Asya, who has no intention of being famous suddenly finds herself as the lead actress in this new rom-com, starring alongside Tolga. Will their roles turn into reality or will ""the hate at first sight"" continue forever?"
287,Runaway,Kaçış,"Mehmet, a war photographer, Ilker, a reporter friend of Mehmet, and a group from Germany, with an activist called Zeynep among them, cross the border illegally to visit an Ezidi village.

The village is then raided by a radical terrorist organization, and they get captured. They are going to have to put up the fight of their lives to escape."
288,As The Crow Flies,Kuş Uçuşu,"While Gen X tries to keep up with adapting to the new world, social media, new ways of business, they still are not aware of the bigger picture. The gap and the differences between both generations are undeniably strong.

In this backdrop, we'll follow Asli's story who tries to fly as the crow instead of relying on the merit of hard work to be able to climb the stairs. The series will question whether Asli can win or lose with the methods of the new world, in order to reach the summit and be the most reputable person on the table."
289,The Beauty Inside,Senden Daha Güzel,"In “Senden Daha Güzel” Efsun is dragged from her idyllic village home and into chaotic city life when her long-lost mother Pervin reappears. In this moving story, the kind-hearted Efsun struggles to adjust to Istanbul's high society until she finds love. She then blossoms, overcoming personal rivalries as she finds her way in life.

Pervin abandoned Efsun when she was six to become a top plastic surgeon. Twenty-one years later she tricks the now successful dermatologist Efsun into coming to Istanbul to help run her beauty clinic. Pervin will not take no for an answer, even threatening to take away Efsun’s farm unless she agrees.

Efsun struggles to adapt to the world of plastic surgery and the surgeon Kaan, with whom she runs the clinic. But he evolves from being an arrogant womanizer as he begins to fall for Efsun. They become drawn into a passionate affair that transforms her attitude to life in the city. Efsun starts to see that city people have different stories to tell and problems to cope with. Overcoming the difficulties of a lonely, stressful urban life, Efsun and her colleagues become close, solving each other's problems and growing to be like a big family as they share their tears and joy."
290,Love on Duty,Gizli Saklı,"Naz is fresh out the police academy, where she graduated at the top of her class. Serious, ambitious and conscientious, she’s lived her life “by the book,” and that’s the kind of police officer she intends to be. Pamir is a veteran detective with a reputation for always getting his man.

He’s also the exact opposite of Naz. Aggressive and ruthless, Pamir doesn’t hesitate to bend the rules to reach his objective. He’s also a bit of a lone wolf.

Neither Naz nor Pamir are happy when their captain pairs them up on a special undercover operation to take down Tarık Koşuoğlu, a dangerous mafia don masquerading as a fish distributor. The unlikely couple are assigned to pose as newlyweds who just moved in across the street. Naz and Pamir can’t stand each other, yet despite all their friction, they somehow manage to gain Tarik’s trust. Then, just when the operation is on the verge of success, something incredible happens – they begin to fall in love! And that’s when everything begins to unravel."
291,Time To Love,Sevmek Zamanı,"The series will center on Kaan and Firuze, two lovebirds whose lives drastically change in one day. Firuze is a contemporary Cinderella.

She is a smart and determined young woman who is both studying and working. After a difficult childhood, she leads a quiet life with her brothers and Muhsin Baba, who adopted them.

Until she met Kağan. A naive love story, which sounds like the initials of the name embroidered on a cloth handkerchief, turns into a whirlwind that engulfs all of her loved ones with it. She begins to drift away from her sheltered world which was surrounded by the men of her family who loved and cared about her, towards the dark universe of Kağan."
292,Gül Masalı,Gül Masalı,"Gonca, a young engineer living in Istanbul, receives surprising news from the past the day her project was stolen and she was fired. This is a mysterious legacy from her mother, whom she lost when she was five years old...

In order for Gonca to inherit the inheritance, she must go to Isparta and fulfill the conditions of Mother Fatma. However, Gonca’s father, Tahir, strongly opposes this journey.

There are facts that Tahir tries to hide and that he does not want his daughter to know. The life of a young woman who went to Isparta to find answers to all the questions in her mind and heart unexpectedly changes direction when she encounters Toprak Atabey, the son of the Atabey family, one of the important families of the city. Because every love waits for its season to fall into the heart..."
293,Balkan Ninnisi,Balkan Ninnisi,The series will follow the struggle of two young people of different nationalities to achieve the impossible for the sake of their love in Skopje.
294,The Interns,İçimizdeki Ateş,"The series follows the stories of four strong, intelligent, ambitious and successful young up-and-coming lawyers as they break into the business world. Mert, Bahar, Hale, and Ege, young lawyer candidates who graduated from the faculty of law, go through a tough elimination process and end up scoring internship positions with famous Lawyer Doğan Yener and his wife Tülin Tan.

As a requirement, they must stay out of trouble during the internship. As life tests them with all kinds of obstacles on this journey, we will follow their adventures as they strive to reach their goals under the guidance of Doğan and Tülin."
295,One More Chance,Tozluyaka,"Vefa had been accepted to an elite high school, far from his hardscrabble roots. He was happy, confident, and had his whole life ahead of him. So when his death was ruled a suicide, his friends couldn’t believe it.

Then a mysterious letter arrived, saying he was murdered by someone on campus. It also contained the answers to the school’s entrance exam. Now his best friends Ali, Zeyno and Arap will enroll at Vefa’s school looking for answers.

Their search eventually leads them to Berk, the rector’s son, and his closest friends Cemre, Hazal, Çağrı and Ege. The trappings of wealth and outright snobbery make it hard for Vefa’s friends to adjust to their new surroundings, but eventually they are able to see past the class divide. They find their footing and catch a glimpse of a better life – once unthinkable, but now within reach. What began as a search for answers will give Ali, Zeyno and Arap hope and change their lives forever."
296,Seni Kalbime Sakladım,Seni Kalbime Sakladım,"Two different lives, two different worlds...

Will Zeynep and Civanmert be able to escape the love of their destiny? The series will follow the love of the smart, resourceful, and beautiful Zeynep, who manages the family business, and Civanmert, a naive but brave neighborhood boy who is famous as the ""yekparmak valet."" Zeynep and Civanmert's fictional love story will turn into an irresistible love story over time, and the audience will follow this story closely."
297,Another Self,Zeytin Ağacı,"The friendship of Ada (Tuba Büyüküstün), Sevgi (Boncuk Yılmaz) and Leyla (Seda Bakan) which started in college turned into a friendship that gives strength to them even in their worst times. Ada is a successful surgeon and Sevgi is an ambitious lawyer. Leyla on the other hand never worked for a career as opposed to both of them.

She lives a happy life with her husband and his son. However, the strong bond between these three women faces its hardest test when Sevgi gets diagnosed with cancer. Instead of following Ada’s wishes and getting treated in a hospital, Sevgi follows a very different hope.

She asks Leyla to take her to Ayvalık in order to find a mysterious man called Zaman (Fırat Tanış). When they realize that there is no way for them to change Leyla’s mind they all desperately go on a journey. They don’t know how this journey will completely change their lives yet. This search, started by Sevgi, will cause unexpected events not only in her life but also in Ada and Leyla’s lives as well."
298,When We Love,Ah Nerede,"Ah Nerede features three brothers whose family sent them to Istanbul to pursue their education but who ended up following their own passions. Ömer is supposed to be studying engineering but instead spends his evenings as a musician performing in bars. Middle son Murat is a compulsive gambler who should be studying law.

And eldest son Ferit is a would-be medical student who chases women day and night. Ferit, an incurable womanizer, has left a trail of broken hearts all over Istanbul when three of his conquests team up to turn the tables on him. Their ringleader is Zehra, a former medical student who dropped out of school after she was dumped at the wedding table.

Now she’s using her brains and considerable beauty to help her friends take revenge on Ferit. Things really get complicated when Zehra tells Ferit’s parents what their sons are actually doing in Istanbul. When Ferit finds out, he blackmails Zehra into pretending to be his fiancée, which delights his parents but creates new problems for everyone involved."
299,Hear Me,Duy Beni,"A young adult drama set in a prestigious high school, Duy Beni explores themes of bullying, social injustice, and high school romances. Ekim and Meltem are two young teenagers who are as close as sisters.

They live a modest life in a humble neighborhood but they always envied the rich kids who attend Doğru High School, a secondary school exclusively for the children of wealthy families. One day a car hits Meltem and the culprit flees the crime scene, making his way towards the school and hides his car in the parking lot.

When news spreads that a girl will spend the rest of her life in a wheelchair because of someone from the school, the principal decides to give scholarships to three students from Meltem’s neighborhood, to bury the bad news. Ekim, Bekir, and Ayşe are chosen to start their fresh student life in the city's most prestigious school, but they soon understand that their life is actually about to get harder; they will have to fight to survive among the rich children and they will be surprised to see that the wealthy have very different lives to what they imagined..."
300,Another Chance,Gelsin Hayat Bildiği Gibi,"Most of the time, life comes as it knows. It is the same for Sadi Payaslı, Ankara’s indomitable bully.

Sadi Payaslı’s past will follow him in Karabayır High School, where he was appointed as a geography teacher, leaving his dirty past behind. One of the children who came to Karabayır High School from the reformatory has a very special meaning for Sadi.

But both are unaware of this. Another thing that Sadi Payaslı is not aware of is, the love and interest of Songül, the unruly policeman of the Public Security Branch, with whom he came from Ankara. Moreover, his life will turn into a dead end when he confronts her beloved Derya, whom he left behind unintentionally 17 years ago but never forgot. But with his unshakable sense of justice, he will balance his life and take care of 5 convicted students from the reformatory."
301,Mükemmel Eşleşme,Mükemmel Eşleşme,"Pınar and Kerem lead a single life in pursuit of their careers in 1+0 apartments in large plazas kilometers away from each other in Istanbul, one of the largest metropolises in the world. Neither Pınar nor Kerem is thinking of getting married, having children, or starting a family. They are very happy with their lonely and comfortable life, but their families are not happy about this situation.

These two families, unaware of each other, agree that their children are at the age of marriage. Sevinç Abla, who knows both Pınar, Kerem and their families closely, seizes the case. While an ""arranged"" marriage in June of 2022 may sound strange, when the details are analyzed, it is clear that the ""arranged"" marriage is far more successful than today's matching algorithms.

However, both Kerem and Pınar are strongly against arranged marriage. They don't even want to meet each other. Although it is very difficult to convince them, families are not willing to give up."
302,Between the World and Us,Dünyayla Benim Aramda,"Ilkin and Tolga have reached a point in their relationship where they can no longer communicate. Tolga is unhappy with the TV series he plays a role in.

Ilkin tries everything she can think of to get him to talk to her. When that doesn't work, she decides that she either needs to give up on Tolga or do something extraordinary. Ilkin opens a fake social media account and sends him a message pretending to be another woman."
303,The Perfect Tenant,Kusursuz Kiracı,"Mona is a beautiful young reporter investigating a rash of arsons when she gets kicked out of her apartment. Suddenly homeless and with nowhere else to go, Mona moves in with Yakup, a journalist for a rival website who has also been chasing the arson story.

Yakup recently inherited a huge apartment in a grand old walkup, and the flat can easily accommodate two roommates. The only problem with the building is the other tenants, a diverse mix of characters whose only common feature is that none of them like Mona.

Every floor is home to a different kind of weirdo, each with their own story – and they all want her gone! In time, Mona will realize they’re hiding something, but what? And how far will they go to get rid of Mona?"
304,A Little Sunshine,Bir Küçük Gün Işığı,"A self-made woman, Elif owns her own wedding and events organization company and has forged her successful professional career with effort and tenacity. She is happily married to Hakan, the COO of a major company with whom she has yet to have any children.

The same day that Elif considers starting the adoption process, she receives an unexpected call from the hospital to inform her that her husband had been in an accident. Arriving at the hospital, Elif learns that her husband has died.

Elif goes from sadness to major surprise after discovering that Hakan has a daughter. Disappointed and distraught, she can hardly believe that her husband has betrayed her by hiding for years that he had another wife and a daughter, Guneş, who is unable to speak. Elif tries to communicate with her to no avail and her world falls apart. While she lives a real nightmare, she meets Firat, a businessman who has been looking for her missing sister for years, and their paths cross inevitably."
305,Love Snack,Sadece Arkadaşız,"Based on the Italian series, 'Love Snack.' The remake will follow the lives of F. Ece and Umut, who are forced to live in the same house after Umut's aunt decides to do away with all her property.

Per Umut's aunt's instructions, the person who gets the house would be the first of the two of them to get married. Although Umut and F. Ece do not look forward to marriage, they go on a date with a different person every day to find the right spouse in other to become the owner of the house."
306,The Father,Ben Bu Cihana Sığmazam,"After avenging his brother who was sabotaged, Cezayir Türk, a secret service assassin who served his country dutifully takes necessary measures and fakes his own death. As a result of an injury that takes place during one of his operations abroad, he meets Firuze, one of the doctors without borders.

Even though he misses his wife and kids back home, he knows that going back to them is nearly impossible. Subsequently, he falls in love with Firuze and creates a new family with her, but shortly after, he is exposed and has to return to Istanbul.

Neither his secondary family nor his original family who wept and prayed at his graveyard, are aware of these developments. Istanbul, on the other hand, is not the same as where he left. He will do his best to fight the foreign forces, but it will also require his energy to be divided between two women who are in love with him."
307,That Girl,O Kız,"Zeynep, like thousands of young girls, is obsessed with social media and dreams of getting rid of the poor life she lives. But while she is striving for this, she is also “mothering” her father at the same time because the 45-year-old big man has the sense and intelligence of a 5-year-old child. With his toy car in his hand, his childish jokes, his anger, and his reconciliation, Kadir is a complete child-man.

He fell victim to a cord wrapped around his neck in his mother’s womb. Zeynep has big dreams and wants to leave her aunt’s house, where she currently lives, and is unable to interact with her cousins, her uncle who constantly finds reasons to berate her aunt, as well as her aunt’s irate exhaustion, impossibility, and lack of money. Every week, Zeynep works as a cleaner at the home of Ozan, a popular figure whose life she aspires to live.

Her love for Ozan is platonic. Even though she just goes there to do the housework that one day of her life is indispensable because apart from social media, the only place where she feels young and alive is his house. But this house… is about to change her life."
308,A Fairytale,Bir Peri Masalı,"Zeynep is an average girl with big dreams and a dull life. Then she and her boyfriend find a bag full of money in a rental car. When they get in a wreck, Zeynep has a choice: She can save her boyfriend’s life or take the money and run.

She takes the money. So begins the adventures of Zeynep, who transforms herself into the fashionable socialite “Melis” and breaks into high society. Her objective is to find a rich husband before she’s found out or the money runs out.

In the tight-knit community of the ultra-rich, either one could happen fast! Melis targets Onur Köksal, a successful businessman and the oldest son of a wealthy family. She successfully worms her way into the Köksal family, but the deeper she gets the more she realizes that life at the top has miseries all its own. She also learns that, no matter how far you run, you can’t escape your past…"
309,Aldatmak,Aldatmak,"Güzide Yenersoy is a respectable family court judge living in Istanbul. With a marriage of 30 years and two children, Güzide Yenersoy has what could be described as the epitome of a perfect family. Her husband, Tarık, is an experienced and successful lawyer, running his own law firm. Her son, Ozan, is a construction engineer working at a prestigious company, while her daughter, Oylum, is studying medicine in the Netherlands, upon her mother’s insistence.

From the outside, Yenersoy family has a picture-perfect life based on trust and love, but the truth is completely different from this false reality. Although everything seems to be going well, Güzide is not aware that the events buried in the past will come to light again.Every member of her family, whom she loves and dedicates her life to, is lying to Güzide. She does not know that Oylum has made the decision to go to the USA to realize her dream of studying modern dance. While Oylum is counting down for the day she will go to New York, her family friend Tolga, whom she met by chance at the airport, becomes her partner in secret.

Oylum is not the only one lying to Güzide. After not receiving the promotion he was expecting, Ozan follows his friend’s advice of investing in crypto money, but he gets himself into huge trouble by sinking his father’s friend’s entrusted money. However, her husband is the one who commits the betrayal that will change Güzide’s life forever. Tarık has a second family, which he has been keeping secret for five years. When her husband’s betrayal is revealed, Güzide finds herself confronting the reality that her life has been a lie."
310,Golden Boy,Yalı Çapkını,"Halis Ağa is the owner of a large jewellery empire and the head of the Korhan family. Even though his son Orhan and oldest grandson Fuat run most of the business, he still makes the most important decisions in the company. His younger grandson Ferit, who is the total opposite of his brother Fuat, is a very irresponsible young bachelor who just returned from abroad where he went to study.

Halis can’t take anymore of Ferit’s recklessness and he charges his widowed daughter-in-law Ifakat with finding him a nice girl to marry. The news that Halis Ağa is looking for a bride for his grandson, comes like a bolt from the blue into Kazım’s mansion in Gaziantep. Kazım’s only hope to get rich are his beautiful daughters, Suna and Seyran.

After Ifakat sees Suna and decides she is the right girl for Ferit, the family goes to Gaziantep to ask for Suna’s hand in marriage. But before the ceremony, Ferit and Seyran meet each other without realizing that they are supposed to become brother and sister-in-law, and Ferit is enamored by her. The two sisters’ lives change forever when Ferit decides to marry Seyran instead of Suna. While Kazım is glad that he has secured his access to a great fortune, Seyran will be the new bride in a family full of betrayals, lies and secrets. While Suna will start making revenge plans to get back her stolen future, life at the mansion will be even more challenging with the two brothers’ power conflicts."
311,Cezailer,Cezailer,"Psychiatrist Mert Güngel is hospitalized for an experiment pretending to be mentally ill.

His goal is to prove to the doctors that he is not sick and to get out of there. This experiment he made for his career turns into an inextricable nightmare in a short time."
312,Gecenin Ucunda,Gecenin Ucunda,"Macide, the daughter of a poor family who has studied psychology and is not happy in business life and seeks to heal others, falls in love with the elder brother of Ahmet, Kazım Işık, who is known as the smartest and the most successful businessman in the country. She has just met and fallen in love with the man with a morbid passion. Moreover, Kazım Işık is married to Nermin.

Macide’s love is not unrequited. Kazım passionately embraces Macide, who is by his side at his weakest moment… But will he be able to protect her from the cruelty of the rich and powerful life he created? Will Macide be able to preserve the purity, innocence and sensitivity she had when she first met Kazım?

Or worse yet, when everyone makes her a “queen” out of false reverence… This is the story of a young woman who falls in love for the first time on her way to heal herself by healing others, following the healing she received from her father. The story of a man who has everything he wants in life, but perhaps mostly for this reason, looking for a companion in unhappiness and loneliness… Poison Ivy is a love story that tells that when two souls find each other despite the whole world, even themselves. Everything stands in front of them but still, they meet. However, no one can illuminate another’s darkness."
313,Tuzak,Tuzak,"Tuzak tells the story of three siblings Mahir, Umut and Umay whose springs of life were taken from them. Who is bad, who is real, who is fake?

In such a mixed-up world, three siblings Umut, Mahir and Umay who came together for a common purpose, find out that they don’t have the bond they thought they had. On the other hand, Güneş, Güven and Mete are the siblings, each one of whom believed that their father’s approval and their comfortable lives were more important than each other.

Umut, as he is taking revenge from this family he hates, he goes through his biggest conflict thanks to Güneş, the girl whom he believes to be the love of his life with each passing day. Güneş doesn’t know the real identity and purpose of Umut whom she knows as a dirty lawyer Çınar Yılmaz. She will entrust her family’s and her own future to this man whom she falls in love with.."
314,Hayat Bugün,Hayat Bugün,"Based on the American series 'New Amsterdam,' the series will follow the events that subsequently occur after an idealist doctor is appointed to a hospital in the city. Chief Physician Barış Güvener is appointed to Hisarönü Hospital, one of the oldest and most established hospitals in Istanbul.

However, Hisaronu, one of the best hospitals of its time, is going through a difficult time. With the arrival of a young and idealistic chief physician, the story of the entire hospital begins to be rewritten.

As Barış tries to get the hospital up and running, he will not only struggle with the difficulties in his own life but also enter into a tough battle for his patients along with his colleagues, whose hearts he wins over one after the other. While the path of impossible loves, precious friendships, and touching life stories passes through Hisarönü Hospital, Barış will make us believe again in the power of love, hope, and devotion and will open the doors of the hospital to everyone living in Istanbul! In order to say ""Hayat Bugun"" (Life is Today), to hope and start over, he will ask only one question; ""How can I help you?"""
315,One Love,Kızılcık Şerbeti,"“Kızılcık Şerbeti” tells the captivating story of the idealistic Doga falling hopelessly in love with a charming man from a devout family whose values clash with those of her mother, creating a powerful drama as they seek to overcome their differences and find harmony. “Kızılcık Şerbeti” explores the powerful evolution in the idealistic Doga when she finds love at the start of university with a man whose beliefs conflict with those of her mother, Kivilcim. An unexpected pregnancy is set to turn Doga’s life plans upside down, shaking to the core two families from different worlds. Fatih comes from a devout family.

He seeks a serious relationship, which he finds when he and Doga fall in love. Kivilcim’s fears about their romance are fulfilled when her daughter becomes pregnant. Fatih sees this as a gift from God, but Kivilcim warns it will destroy Doga’s life, convincing her to have an abortion. Kivilcim’s devastation is complete when Doga skips the abortion and instead marries Fatih.

The modern, secular Kivilcim finds herself bound to Fatih’s religious family, with a headscarf-wearing mother and a father who prays five times a day. She is convinced their marriage is doomed by the differences between them. Doga and Fatih face an uphill battle for their love to triumph over this huge culture clash. Kivilcim also faces a struggle that triggers major changes in her attitude. A complex love story evolves, bringing together two families who are poles apart but share the same deep truths."
316,Darmaduman,Darmaduman,"'Darmaduman' is a Turkish remake of the award-winning American television series, Beverly Hills, 90210, which premiered originally in the 90s. The remake follows Kerem and Ece, a brother and sister who are uprooted from their small town when their grandparents fall ill. The family relocates to Istanbul, and the twins transfer from their local community college to an elite private university, two scholarship students suddenly surrounded by the children of privilege. Their home life is different too, as they are suddenly living under the strict code of their very traditional grandparents. Kerem and Ece not only have to navigate a new city and a new school, but a bitter family dynamic very different than the loving home they grew up in.

Before long Kerem falls for Derin, a popular girl who befriends his sister Ece. Ece develops feelings for Evren, who picks a fight with Kerem on his first day at the new school. Evren has no feelings for Ece, but he has had a secret crush on Derin for years. Then there’s Derin’s crazy ex Yağız, who shows up at Derin’s party and makes a scene before Kerem sets him straight (yet another reason for Evren to resent him). Yağız takes his revenge, using his influence to have Kerem and Ece’s scholarships revoked.

At the same time, their father and grandfather are fighting again, and the grandfather is set to kick him out. Everything is falling apart. But when the twins’ grandmother pressures their grandfather to get them back into university, he agrees on one condition: the whole family must live together in harmony under his roof – and by his rules. Thus begins DARMADUMAN, where Kerem and Ece struggle to fit in to their new university and a sparking social circle while coping with three generations of family conflict at home. The generation gap between the twins, their parents, and their very traditional grandparents enriches this coming-of-age drama, as Kerem and Ece’s growing pains reverberate through the whole family, and each member comes to understand the other a little better."
317,Hot Skull,Sıcak Kafa,"In a world shaken by an epidemic of madness that spreads through language and speech, a former linguist Murat Siyavus who has been at a long-lasting hideout, is the only person mysteriously unaffected by this disease. Hunted by the ruthless Anti-Epidemic Institution, Murat is forced to leave the safe zone and flee within the flames and ruins of the mysterious streets of Istanbul, where he searches for the secret of his “hot skull” – a lasting mark of the disease."
318,Toprak ile Fidan,Toprak ile Fidan,"In ""Toprak ile Fidan,"" Toprak wakes up after five years in a coma and comes home to a family he can’t remember. Ayden, his fiancée, has loved him since they were kids but Toprak cannot remember anything. The little boy Burak doesn’t know at all.

Toprak’s mother, Keriman, encourages him to finally marry Ayden and get on with his life. Fidan lost her husband and baby in a terrible car accident five years ago. Now she lives in Şile with her sick father and stepmother, working to pay off the enormous debt they owe to the loan shark who yearns to marry her.

When a twist of fate brings these two together, Fidan cannot believe her eyes. Toprak looks exactly like her dead husband, although he doesn’t recognize Fidan. And yet, she stirs something within Toprak… Soon Fidan joins Toprak’s household as Burak’s nanny, and the two of them unravel the mystery of Toprak’s past – and his uncanny resemblance to Fidan’s dead husband."
319,Secrets of an Angel,Yürek Çıkmazı,"The drama is about the story of a family from Usak who migrates to Istanbul. Cennet, who has been working since she was young and getting ready for marriage, marries Yılmaz, whom she fell in love with, and comes to Istanbul from her village as a bride. As a result of their marriage, which lasted almost forty years, they have three children. The marriage, which started “in good times and bad times”, ends with Cennet’s paralysis and death. She left behind three tearful children and a husband.

However, the letter that emerges after the funeral, turns upside down the facts that everyone believes. As it turns out, the letter Cennet penned before her death blames her husband. This causes a division between the siblings: Feride, who always loves her father unconditionally and stands by his side, Birsen, who is used to obeying everything not to be harmed, and Halil, who has not sided with his father for a long time. As a result of her research over time, Cennet’s lawyer manages to find evidence to prove the accuracy of this claim. In fact, this is not difficult at all, as Yılmaz is a man who has always been violent to not only his wife but his children as well.

Although this is an open secret to everyone around, no one has dared to stand up against out, instead, they remain silent, especially Cennet. The letter she leaves before she dies is proof to show the truth is crystal clear. Although it is painful for the three siblings to decide where to stand and return to their unfinished reckoning in the past; in time, they decide to heal their wounds and begin to struggle to become a family again. Meanwhile, a great love arises between Halil and Zeynep, the lawyer who deals with his mother’s case. Zeynep fights for both Halil and Cennet."
320,Forever Together,Güzel Günler,"29 years ago, a boy and a girl were born at the same time on the same shores of Lake Van. The wise and old Setrak, visited both families and told the parents that the babies were meant to share the same destiny; “They will love each other deeply. And then something terrible will happen which will make them part ways.” Years passed, and Selma and Mihran grew up and fell in love just like the old man said.

The two even get engaged, however, shortly after the engagement Selma and Mihran break up after a big fire, which leaves Mihran without a home and he is forced to move to Istanbul with his family. He leaves behind in the city of Van, all his memories with Selma, whom he thinks set their house on fire. Seven years later Selma and Mihran still haven’t exchanged a word, until the old Setrak dies, leaving a heritage for Selma and Mihran in Istanbul… After hearing the bad news, Selma hops in her car alongside her little sister Leylim and her cat Duman, and begins her journey towards Istanbul to get the heritage.

As lonely as Selma is, Mihran is living with a very large family in Istanbul. Moreover, he is about to get engaged to the beautiful Alya. Time goes by, Selma finds Mihran and reveals to him the secrets of their past. As the wise Setrak once said, Selma and Mihran start to share the same life and destiny, and they fall in love all over again."
